trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.4, 'e': 0.39999999999999947}",25,7,6.596745935405266,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.4, 'e': 0.39599999999999946}",30,0,-1.9350163143937158,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
152,False,"{'a': 0.4, 'e': 0.39199999999999946}",20,0,-27.479066681804614,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
153,False,"{'a': 0.4, 'e': 0.38799999999999946}",30,9,24.400389749757387,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.4, 'e': 0.38399999999999945}",20,10,2.8122996711322736,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.4, 'e': 0.37999999999999945}",30,17,9.14955777474475,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.37599999999999945}",20,4,25.657006023011874,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': 0.37199999999999944}",20,0,-33.82253399546744,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
158,False,"{'a': 0.4, 'e': 0.36799999999999944}",20,0,19.36620012898282,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.4, 'e': 0.36399999999999944}",30,0,-95.01743028462847,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
160,False,"{'a': 0.4, 'e': 0.35999999999999943}",20,11,13.222643234905616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': 0.35599999999999943}",25,8,-25.735986689680573,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.4, 'e': 0.3519999999999994}",25,11,9.863538861485754,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.3479999999999994}",35,11,4.113148375455955,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.3439999999999994}",25,16,-3.086764021295642,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.3399999999999994}",20,13,-10.608831877459709,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.3359999999999994}",20,16,8.795768664028033,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': 0.3319999999999994}",25,15,6.6527979191642626,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': 0.3279999999999994}",30,8,-46.27651857164944,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.3239999999999994}",25,10,0.1372287217881647,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.3199999999999994}",30,8,-31.73418686379165,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
171,False,"{'a': 0.4, 'e': 0.3159999999999994}",25,0,22.668786919798308,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.4, 'e': 0.3119999999999994}",20,10,15.622120680569145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.3079999999999994}",25,12,13.764476856798037,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.3039999999999994}",20,0,2.2153836359200785,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.2999999999999994}",30,16,-28.97145741170061,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.4, 'e': 0.2959999999999994}",20,0,-2.95185299246234,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.4, 'e': 0.29199999999999937}",30,15,-17.201818937792776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.4, 'e': 0.28799999999999937}",30,24,10.012815985141547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.28399999999999936}",25,0,-67.76998665089063,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
180,False,"{'a': 0.4, 'e': 0.27999999999999936}",30,17,7.049254038783243,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.27599999999999936}",25,0,-28.12888364744035,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
