trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,7,21.451258117799835,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.23599999999999932}",30,0,-30.88027167463394,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
192,False,"{'a': 0.5, 'e': 0.23199999999999932}",20,9,13.701017526482076,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.22799999999999931}",20,14,11.59673373067502,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.2239999999999993}",20,3,-65.76066373502208,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
195,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,0,-13.530449186799785,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
196,False,"{'a': 0.5, 'e': 0.2159999999999993}",20,15,10.136342693733484,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.2119999999999993}",20,9,22.3456779496965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.2079999999999993}",20,2,28.19372445248654,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.2039999999999993}",35,23,9.66648864374912,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,19,13.450169588739197,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.19599999999999929}",20,13,8.609542614903267,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.19199999999999928}",25,12,20.693578216363758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.18799999999999928}",20,5,-51.359724555121765,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
